grid_id,date,time,gmv,const,cnt_call
OL10F1i678j396,2018/11/19,25,2.182529946,1,0.738845043
OL10F1i678j396,2018/11/19,26,1.68885293,1,0.602486585
OL10F1i678j396,2018/11/19,27,1.544927935,1,0.250227238
OL10F1i678j396,2018/11/19,28,2.575694662,1,0.682029019
OL10F1i678j396,2018/11/19,29,1.9895648,1,0.579760176
OL10F1i678j396,2018/11/19,30,2.398645246,1,0.807024271
OL10F1i678j396,2018/11/19,31,2.092619923,1,0.932019523
OL10F1i678j396,2018/11/19,32,1.509630108,1,0.545670562
OL10F1i678j396,2018/11/19,33,2.696327894,1,1.397910918
OL10F1i678j396,2018/11/19,34,3.220691177,1,1.250189257
OL10F1i678j396,2018/11/19,35,2.818192517,1,1.352458099
OL10F1i678j396,2018/11/19,36,2.083353705,1,1.170646823
OL10F1i678j396,2018/11/19,37,2.047895798,1,1.284278871
OL10F1i678j396,2018/11/19,38,2.043505888,1,1.09110439
OL10F1i678j396,2018/11/19,39,1.630737426,1,0.3979489
OL10F1i678j396,2018/11/19,40,2.011748311,1,0.8752035
OL10F1i678j396,2018/11/19,41,2.053861888,1,0.750208247
OL10F1i678j396,2018/11/19,42,1.631660969,1,0.432038514
OL10F1i678j396,2018/11/19,43,1.619876556,1,0.409312105
OL10F1i678j396,2018/11/19,44,1.339673505,1,-0.067942495
OL10F1i678j396,2018/11/19,45,1.350417393,1,-0.249753771
OL10F1i678j396,2018/11/19,46,0.687818141,1,-0.692918757
OL10F1i678j396,2018/11/19,47,0.518058561,1,-1.090630923
OL10F1i678j396,2018/11/20,0,0.349647353,1,-1.01108849
OL10F1i678j396,2018/11/20,1,0.201880418,1,-1.079267718
OL10F1i678j396,2018/11/20,2,0.247109414,1,-1.113357333
OL10F1i678j396,2018/11/20,3,0.05695184,1,-1.431527066
OL10F1i678j396,2018/11/20,4,0.125564953,1,-1.374711042
OL10F1i678j396,2018/11/20,5,0.031708322,1,-1.522432704
OL10F1i678j396,2018/11/20,6,0.153000347,1,-1.48834309
OL10F1i678j396,2018/11/20,7,0.006156956,1,-1.601975137
OL10F1i678j396,2018/11/20,8,0.053934931,1,-1.522432704
OL10F1i678j396,2018/11/20,9,0.345140462,1,-1.48834309
OL10F1i678j396,2018/11/20,10,0.125983626,1,-1.46561668
OL10F1i678j396,2018/11/20,11,0.197219603,1,-1.329258223
OL10F1i678j396,2018/11/20,12,0.405004541,1,-1.090630923
OL10F1i678j396,2018/11/20,13,0.29943738,1,-0.545197095
OL10F1i678j396,2018/11/20,14,2.609151559,1,0.966109138
OL10F1i678j396,2018/11/20,15,2.729366118,1,1.136557209
OL10F1i678j396,2018/11/20,16,1.78487681,1,0.522944152
OL10F1i678j396,2018/11/20,17,1.940241428,1,0.238864033
OL10F1i678j396,2018/11/20,18,2.217310589,1,0.943382728
OL10F1i678j396,2018/11/20,19,2.157957536,1,0.772934657
OL10F1i678j396,2018/11/20,20,1.913446357,1,0.363859286
OL10F1i678j396,2018/11/20,21,1.786022004,1,0.272953648
OL10F1i678j396,2018/11/20,22,1.407824847,1,0.102505576
OL10F1i678j396,2018/11/20,23,1.868672976,1,0.307043262
OL10F1i678j396,2018/11/20,24,2.32322254,1,0.704755428
OL10F1i678j396,2018/11/20,25,2.044491001,1,0.477491333
OL10F1i678j396,2018/11/20,26,2.378702867,1,0.6365762
OL10F1i678j396,2018/11/20,27,1.581235502,1,0.102505576
OL10F1i678j396,2018/11/20,28,2.443498668,1,0.625212995
OL10F1i678j396,2018/11/20,29,1.914924027,1,0.261590443
OL10F1i678j396,2018/11/20,30,2.128244069,1,0.727481838
OL10F1i678j396,2018/11/20,31,2.243840911,1,0.625212995
OL10F1i678j396,2018/11/20,32,2.530736572,1,0.818387476
OL10F1i678j396,2018/11/20,33,2.656787925,1,1.193373233
OL10F1i678j396,2018/11/20,34,3.994226455,1,2.363783323
OL10F1i678j396,2018/11/20,35,2.655630417,1,1.204736437
OL10F1i678j396,2018/11/20,36,2.38686699,1,0.966109138
OL10F1i678j396,2018/11/20,37,2.507524849,1,1.466090147
OL10F1i678j396,2018/11/20,38,2.390856697,1,1.579722194
OL10F1i678j396,2018/11/20,39,1.580053367,1,0.125231986
OL10F1i678j396,2018/11/20,40,1.322470971,1,0.102505576
OL10F1i678j396,2018/11/20,41,1.69574872,1,0.500217743
OL10F1i678j396,2018/11/20,42,1.547994099,1,0.295680057
OL10F1i678j396,2018/11/20,43,1.098333158,1,0.13659519
OL10F1i678j396,2018/11/20,44,1.091443525,1,-0.0793057
OL10F1i678j396,2018/11/20,45,1.081167566,1,-0.102032109
OL10F1i678j396,2018/11/20,46,0.498738034,1,-0.908819647
OL10F1i678j396,2018/11/20,47,0.323314054,1,-0.965635671
OL10F1i678j396,2018/11/21,0,0.153018818,1,-0.783824395
OL10F1i678j396,2018/11/21,1,0.139812148,1,-1.113357333
OL10F1i678j396,2018/11/21,2,0.080933182,1,-1.101994128
OL10F1i678j396,2018/11/21,3,0.006156956,1,-1.511069499
OL10F1i678j396,2018/11/21,4,0.045992459,1,-1.44289027
OL10F1i678j396,2018/11/21,5,0.073920409,1,-1.511069499
OL10F1i678j396,2018/11/21,6,0.078907543,1,-1.545159113
OL10F1i678j396,2018/11/21,7,0.013668442,1,-1.636064751
OL10F1i678j396,2018/11/21,8,0,1,-1.556522318
OL10F1i678j396,2018/11/21,9,0.009604851,1,-1.692880775
OL10F1i678j396,2018/11/21,10,0.076900376,1,-1.647427956
OL10F1i678j396,2018/11/21,11,0.241678979,1,-1.22698938
OL10F1i678j396,2018/11/21,12,0.264281164,1,-1.022451695
OL10F1i678j396,2018/11/21,13,0.354086518,1,-0.74973478
OL10F1i678j396,2018/11/21,14,2.244154915,1,0.772934657
OL10F1i678j396,2018/11/21,15,1.213997727,1,-0.011126471
OL10F1i678j396,2018/11/21,16,1.149337379,1,0.522944152
OL10F1i678j396,2018/11/21,17,1.03721306,1,-0.204300952
OL10F1i678j396,2018/11/21,18,2.878506054,1,1.193373233
OL10F1i678j396,2018/11/21,19,1.743274261,1,0.443401719
OL10F1i678j396,2018/11/21,20,1.739629343,1,0.432038514
OL10F1i678j396,2018/11/21,21,1.877403539,1,0.057052757
OL10F1i678j396,2018/11/21,22,1.597034251,1,0.13659519
OL10F1i678j396,2018/11/21,23,2.010910965,1,0.647939404
OL10F1i678j396,2018/11/21,24,2.156430612,1,0.568396971
OL10F1i678j396,2018/11/21,25,1.96001757,1,0.625212995
OL10F1i678j396,2018/11/21,26,1.931726359,1,0.307043262
OL10F1i678j396,2018/11/21,27,1.980070774,1,0.488854538
OL10F1i678j396,2018/11/21,28,2.189253342,1,0.3979489
OL10F1i678j396,2018/11/21,29,2.315310852,1,0.488854538
OL10F1i678j396,2018/11/21,30,1.901009307,1,0.329769671
OL10F1i678j396,2018/11/21,31,1.721010709,1,0.557033766
OL10F1i678j396,2018/11/21,32,1.518994838,1,0.420675309
OL10F1i678j396,2018/11/21,33,3.162526417,1,1.522906171
OL10F1i678j396,2018/11/21,34,2.405676489,1,0.977472342
OL10F1i678j396,2018/11/21,35,2.122050171,1,1.079741185
OL10F1i678j396,2018/11/21,36,2.742055603,1,1.613811809
OL10F1i678j396,2018/11/21,37,2.185750034,1,0.932019523
OL10F1i678j396,2018/11/21,38,1.908840955,1,0.761571452
OL10F1i678j396,2018/11/21,39,1.892321843,1,0.841113885
OL10F1i678j396,2018/11/21,40,1.593777221,1,0.284316852
OL10F1i678j396,2018/11/21,41,1.66144832,1,0.352496081
OL10F1i678j396,2018/11/21,42,1.95022801,1,0.693392224
OL10F1i678j396,2018/11/21,43,1.36492318,1,0.170684805
OL10F1i678j396,2018/11/21,44,1.151849417,1,-0.181574543
OL10F1i678j396,2018/11/21,45,1.033217196,1,-0.374749023
OL10F1i678j396,2018/11/21,46,0.62826191,1,-0.795187599
OL10F1i678j396,2018/11/21,47,0.346088633,1,-1.090630923
OL10F1i678j396,2018/11/22,0,0.167068991,1,-1.158810152
OL10F1i678j396,2018/11/22,1,0.23906843,1,-1.147446947
OL10F1i678j396,2018/11/22,2,0.078938328,1,-1.158810152
OL10F1i678j396,2018/11/22,3,0.230239356,1,-1.317895018
OL10F1i678j396,2018/11/22,4,0.101522041,1,-1.48834309
OL10F1i678j396,2018/11/22,5,0.089288171,1,-1.397437451
OL10F1i678j396,2018/11/22,6,0.102999711,1,-1.499706294
OL10F1i678j396,2018/11/22,7,0.018778715,1,-1.48834309
OL10F1i678j396,2018/11/22,8,0.080286701,1,-1.613338342
OL10F1i678j396,2018/11/22,9,0.04026649,1,-1.522432704
OL10F1i678j396,2018/11/22,10,0.228355327,1,-1.340621428
OL10F1i678j396,2018/11/22,11,0.172517897,1,-1.44289027
OL10F1i678j396,2018/11/22,12,0.452406943,1,-1.022451695
OL10F1i678j396,2018/11/22,13,0.408507849,1,-0.499744276
OL10F1i678j396,2018/11/22,14,2.738632336,1,0.795661066
OL10F1i678j396,2018/11/22,15,3.874264332,1,1.988797566
OL10F1i678j396,2018/11/22,16,2.394735579,1,0.761571452
OL10F1i678j396,2018/11/22,17,2.528236848,1,0.557033766
OL10F1i678j396,2018/11/22,18,2.601399952,1,1.102467595
OL10F1i678j396,2018/11/22,19,2.396908985,1,0.693392224
OL10F1i678j396,2018/11/22,20,1.9374277,1,0.170684805
OL10F1i678j396,2018/11/22,21,1.720142578,1,0.238864033
OL10F1i678j396,2018/11/22,22,1.375488516,1,-0.022489676
OL10F1i678j396,2018/11/22,23,2.037521327,1,0.466128128
OL10F1i678j396,2018/11/22,24,2.085656407,1,0.61384979
OL10F1i678j396,2018/11/22,25,2.102267873,1,0.522944152
OL10F1i678j396,2018/11/22,26,2.276004847,1,0.3979489
OL10F1i678j396,2018/11/22,27,2.327871041,1,0.897929909
OL10F1i678j396,2018/11/22,28,1.662396492,1,-0.045216086
OL10F1i678j396,2018/11/22,29,2.307756267,1,0.625212995
OL10F1i678j396,2018/11/22,30,2.251875738,1,0.716118633
OL10F1i678j396,2018/11/22,31,1.908705502,1,0.432038514
