gmv,const,cnt_call,sum_online_time,cnt_call_lag,sum_online_time_lag,is_exp,cnt_answer,cnt_finish,date,time
2.530682749,1,2.854382721,1.936276769,2.791616349,1.878010475,1,2.542230088,2.481393451,4,30
2.287680217,1,2.799369735,2.049716345,2.854382721,1.936276769,-1,2.399888991,2.320534507,4,31
2.567281552,1,2.919285424,2.369518192,2.799369735,2.049716345,-1,2.552136665,2.412806245,4,32
3.271919129,1,3.184715484,2.8595651,2.919285424,2.369518192,1,3.02122139,2.786517697,4,33
3.53212685,1,3.235883383,3.123773436,3.184715484,2.8595651,1,3.206690216,3.045315962,4,34
3.128546496,1,3.073791151,3.103262133,3.235883383,3.123773436,-1,2.922935628,2.897609246,4,35
2.999194824,1,3.035203275,3.175973747,3.073791151,3.103262133,-1,2.913604105,2.933396207,4,36
3.149101792,1,3.11256706,3.21617303,3.035203275,3.175973747,1,3.126422667,3.144033687,4,37
2.764973586,1,3.003938365,2.895157171,3.11256706,3.21617303,1,2.85604796,2.864421921,4,38
2.245761197,1,2.744404099,2.510730723,3.003938365,2.895157171,-1,2.361597647,2.359668539,4,39
2.190464896,1,2.652135501,2.411275351,2.744404099,2.510730723,-1,2.280582302,2.301184579,4,40
2.668639724,1,2.764997118,2.551988586,2.652135501,2.411275351,1,2.669374644,2.719958799,4,41
2.958752866,1,2.771004653,2.698943691,2.764997118,2.551988586,1,2.853432788,2.947800452,4,42
2.779938512,1,2.592435392,2.783980591,2.771004653,2.698943691,-1,2.572739246,2.631806254,4,43
2.453977709,1,2.447579878,2.86388715,2.592435392,2.783980591,-1,2.354153479,2.288070902,4,44
2.179814985,1,2.292391453,2.72571056,2.447579878,2.86388715,1,2.115060559,1.927554624,4,45
1.799407589,1,1.886306219,2.214519837,2.292391453,2.72571056,1,1.556732567,1.371908297,4,46
1.226060511,1,1.344608888,1.609018832,1.886306219,2.214519837,-1,1.022804825,0.973315053,4,47
0.844700218,1,0.869038329,1.198934283,1.344608888,1.609018832,-1,0.689305182,0.697795379,4,48
0.652660586,1,0.522240485,0.812879942,0.869038329,1.198934283,-1,0.510862845,0.454507006,5,1
0.49065063,1,0.480095466,0.694027816,0.522240485,0.812879942,-1,0.49096384,0.452270129,5,2
0.550522187,1,0.448487801,0.651799309,0.480095466,0.694027816,1,0.501399831,0.480264187,5,3
0.433224748,1,0.381300446,0.580025674,0.448487801,0.651799309,1,0.462295227,0.411615252,5,4
0.312254551,1,0.29825117,0.485803518,0.381300446,0.580025674,-1,0.389705327,0.312280533,5,5
0.285367054,1,0.24234953,0.433282279,0.29825117,0.485803518,-1,0.35193278,0.251290129,5,6
0.306659183,1,0.207223032,0.43643566,0.24234953,0.433282279,1,0.357693155,0.219687416,5,7
0.322150346,1,0.17125613,0.421392759,0.207223032,0.43643566,1,0.336141597,0.199595664,5,8
0.278150367,1,0.139286826,0.395202244,0.17125613,0.421392759,-1,0.283989934,0.179642747,5,9
